id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.44388e-07,6.53274e-07,2.16023e-08,0.000426421,4.32008e-07,6.86642e-09,1.38294e-06,2.67376e-08,9.60299e-09,3.0583e-07,6.5531e-08,2.91122e-07,3.55808e-08,9.33503e-09,7.49027e-08,1.19371e-07,1.02637e-07,7.99073e-09,7.89861e-07,3.53787e-07,3.21346e-06,8.80336e-10,5.00872e-07,7.30087e-08,1.23348e-07,4.58325e-08,5.47478e-07,2.22269e-07,5.30566e-07,5.32612e-07,2.97538e-07,9.49603e-07,2.21864e-05,2.65334e-06,1.18512e-07,2.83328e-07,4.67856e-07,4.91082e-09,1.56572e-08,2.40971e-07,2.3377e-08,3.40993e-07,4.60961e-07,2.6758e-06,3.0311e-07,1.85276e-05,5.69573e-06,2.22593e-08,1.77421e-08,6.45362e-07,9.35143e-06,0.999163,3.14448e-07,1.43106e-06,1.67347e-08,2.27129e-05,2.43806e-06,1.55353e-08,2.02506e-05,3.55697e-07,8.52378e-06,1.67624e-07,5.07749e-07,2.37302e-07,1.01706e-05,8.81194e-07,5.90638e-09,1.52378e-08,9.3171e-08,4.20482e-06,1.65762e-08,2.68897e-08,1.73088e-08,5.38346e-09,7.30864e-05,3.98483e-07,9.16384e-07,1.00661e-07,7.47433e-08,5.89882e-06,2.01328e-06,2.42162e-07,5.02257e-06,3.44512e-06,9.98839e-05,4.58696e-06,1.60765e-08,2.68839e-07,2.88881e-08,2.90637e-08,6.01014e-05,2.04419e-07,1.7335e-07,5.88143e-06,5.13836e-08,6.6505e-10,1.6629e-08,1.95093e-08,3.96578e-08
7,2.04099e-07,3.9454e-06,3.87807e-06,4.42958e-05,8.61009e-06,6.85979e-07,3.7786e-05,1.11696e-06,2.97918e-07,4.83389e-06,4.78322e-07,6.27049e-06,9.92241e-08,4.16318e-07,1.41387e-05,6.52763e-07,1.8339e-06,1.01475e-06,8.27674e-06,8.861e-06,9.19867e-06,4.09418e-08,2.51772e-06,5.41284e-07,1.33436e-06,8.00973e-07,4.876e-06,5.29353e-07,2.77475e-05,2.10827e-07,3.98984e-05,4.83408e-07,2.58553e-06,2.83402e-06,4.1023e-06,3.01995e-06,3.47906e-05,1.50106e-08,6.95714e-07,6.79165e-06,1.21001e-07,2.85987e-06,6.37127e-06,3.16566e-05,3.98798e-07,5.72531e-05,1.59305e-05,0.000157557,1.14139e-05,3.86197e-07,0.996266,7.96208e-05,1.10358e-05,0.000631628,7.85659e-06,8.79158e-05,0.000172883,3.46775e-07,2.98369e-06,2.30245e-06,3.26371e-05,3.5027e-06,3.38856e-06,5.57085e-06,3.22837e-05,3.57498e-06,4.92386e-07,8.68366e-07,6.83126e-06,0.000820303,5.22875e-08,3.013e-07,2.04188e-08,1.82996e-06,0.000222862,7.76504e-06,1.00608e-05,2.19084e-06,6.17177e-06,7.00968e-05,4.36872e-05,4.99728e-06,1.81026e-07,0.000580008,3.53151e-05,7.83584e-06,9.79006e-06,8.75605e-06,3.10184e-07,1.23041e-07,2.26384e-06,2.76602e-07,3.55073e-06,1.47774e-06,0.000123822,4.20419e-08,1.60298e-05,9.19046e-08,9.31741e-05
9,1.383e-06,0.989019,7.18883e-06,2.99883e-06,0.00478725,2.16383e-05,1.22396e-06,0.0001074,0.000774038,3.03455e-05,3.62795e-06,4.71345e-05,1.22801e-06,1.43974e-07,1.40222e-05,3.52062e-05,0.002894,1.62127e-08,9.18598e-07,1.44738e-05,2.57258e-07,2.80915e-07,4.3022e-10,1.06083e-09,1.6002e-09,0.000100094,3.08333e-06,1.31265e-09,1.9456e-07,1.29711e-07,4.53733e-08,4.38862e-07,3.37394e-05,4.48708e-05,1.10372e-06,1.11988e-05,5.44128e-07,5.07142e-08,2.14911e-08,0.00011885,6.70083e-07,4.00079e-08,2.20154e-08,2.19494e-07,4.4223e-07,2.55881e-05,1.58005e-09,8.38322e-05,3.94131e-05,5.7554e-06,1.49834e-07,1.47425e-09,3.03019e-07,1.0537e-05,6.03614e-08,1.42469e-08,2.12252e-05,5.43926e-08,1.04709e-07,1.09143e-07,4.61559e-06,8.10391e-09,8.39641e-07,1.8021e-08,8.91982e-07,3.65232e-06,6.24968e-07,3.40316e-09,2.765e-10,2.54124e-05,2.4975e-08,4.73776e-07,2.11731e-07,9.78606e-06,1.51768e-05,2.20342e-07,1.78883e-08,1.99384e-06,8.01572e-06,5.57139e-08,3.88113e-08,6.70967e-09,6.51079e-10,4.8615e-07,1.28372e-05,0.000224919,3.43038e-07,1.65821e-06,1.16656e-08,4.67173e-06,2.16638e-06,9.27653e-07,3.68436e-07,1.99513e-08,1.52569e-06,1.67266e-06,1.23925e-08,8.24436e-08,0.00140993
12,6.40915e-08,0.000479204,1.96114e-06,3.04093e-07,1.43561e-05,2.04945e-08,0.00041222,3.17384e-06,0.00192066,3.75711e-05,3.03765e-07,0.000898799,0.00104873,0.00753199,0.00132029,6.96466e-05,2.9252e-05,0.000154444,1.84354e-07,0.97079,1.08905e-06,6.12598e-08,3.59895e-05,2.29552e-08,6.7071e-08,5.46355e-07,0.000459825,9.53155e-07,4.80891e-09,1.47307e-07,2.51322e-09,2.00367e-08,1.74109e-06,1.25582e-05,2.76359e-08,4.99773e-06,3.87403e-06,1.00293e-06,5.15928e-09,1.09691e-08,5.96134e-09,0.000952909,7.58612e-08,7.76966e-09,1.0699e-06,7.90267e-06,3.61713e-07,0.000625215,5.84149e-06,1.89841e-07,1.34932e-06,1.40415e-07,2.84365e-06,1.75854e-06,9.20686e-06,6.06151e-06,1.23064e-07,2.32658e-07,0.000382631,4.43268e-07,3.87232e-05,6.59678e-08,3.36634e-05,2.66333e-06,3.34778e-06,9.87684e-07,8.45898e-06,2.31478e-07,2.41253e-08,5.08978e-08,2.40776e-08,1.03839e-09,4.04617e-09,1.60197e-06,1.31357e-05,1.44268e-05,1.07692e-07,0.000252925,3.99128e-05,5.48982e-06,0.00167863,1.97959e-07,1.13487e-05,1.80123e-06,6.29527e-07,0.000115442,6.40626e-06,8.52832e-08,7.00272e-08,1.96135e-05,1.88099e-07,4.27516e-05,1.40314e-06,1.71129e-05,0.000322367,0.00772517,4.74707e-07,4.21135e-06,0.0024021
13,2.62221e-06,3.31239e-06,5.25911e-09,9.53039e-08,2.78564e-06,2.17359e-09,4.38972e-06,1.36695e-06,4.65428e-05,1.22917e-05,2.00612e-08,0.000535059,6.5636e-06,2.43145e-06,0.997914,6.26429e-07,0.000181318,1.44086e-08,6.86996e-07,4.70083e-08,1.08064e-05,5.28073e-08,2.8969e-06,2.75505e-09,6.54221e-08,2.28187e-07,5.7672e-05,1.64386e-08,6.49798e-10,1.60919e-09,2.04905e-09,2.45972e-11,4.61179e-09,1.16066e-07,3.36647e-10,3.15927e-06,8.84649e-09,5.71327e-09,1.41583e-09,3.48299e-10,1.24098e-08,3.07986e-07,5.33217e-09,4.51089e-08,4.45415e-09,1.14364e-10,1.16693e-08,1.15508e-05,5.84258e-05,1.90861e-05,3.1335e-09,6.58894e-09,1.62145e-07,5.32923e-07,3.32688e-07,1.32167e-08,6.95957e-09,7.75937e-09,3.64811e-08,7.61667e-09,9.05749e-08,1.03791e-08,1.73173e-08,1.11011e-06,7.73821e-08,1.88655e-09,3.1235e-09,2.22363e-10,4.6479e-10,2.33621e-09,2.50143e-07,8.68006e-07,1.03082e-11,1.57407e-08,8.17193e-06,7.39505e-08,3.51643e-09,3.65593e-06,8.00991e-06,8.70582e-07,5.60634e-06,1.17777e-10,1.19345e-08,9.13585e-07,5.16032e-07,1.24751e-08,4.27873e-08,1.6068e-09,1.07795e-08,8.05469e-06,5.33365e-08,5.02668e-05,1.56999e-06,0.000601011,0.000109638,0.000319039,7.30427e-07,2.99556e-07,1.35811e-08
16,1.88004e-05,1.10034e-05,9.29715e-06,0.819327,3.67143e-05,7.14869e-07,4.00742e-05,0.000570123,3.13284e-05,3.91026e-06,0.000290872,0.000112812,0.00065739,9.50274e-05,0.000495345,3.26265e-05,3.60623e-05,3.29094e-05,5.46685e-05,0.000705684,7.90494e-05,3.4434e-05,0.00012076,2.29831e-06,5.2413e-05,7.25425e-05,0.00413726,2.70663e-05,0.000479983,6.89976e-08,1.92255e-05,3.7879e-06,0.000482957,1.02346e-05,3.92521e-06,0.000117191,3.2255e-05,1.0241e-06,3.03275e-06,6.23318e-06,6.20552e-06,0.00565393,6.10992e-05,0.000251584,1.94765e-05,0.000585968,0.00310259,4.30379e-06,2.71602e-06,3.50233e-05,2.23572e-05,0.000139351,0.00892366,0.000109015,2.80561e-06,2.04131e-05,5.01124e-05,5.61542e-05,0.000604765,6.44306e-06,0.000353283,1.71541e-06,0.000655208,2.33389e-05,9.39062e-05,5.38761e-05,1.04066e-05,0.000574466,0.000397201,0.000386006,2.42911e-05,2.29583e-05,2.87238e-07,0.000970321,8.23998e-05,0.00065289,3.57603e-05,0.000234611,1.08758e-06,0.000141356,2.00234e-06,0.000441885,8.81387e-06,0.0535258,3.80339e-06,0.000129441,0.0898344,3.99117e-06,1.25438e-05,0.000762818,4.57305e-05,0.000158718,0.000182641,0.000849544,0.00103075,1.64209e-05,1.51684e-05,0.000315148,3.8447e-05
19,2.4966e-05,4.75879e-05,9.57362e-06,0.976004,1.18025e-05,1.29341e-06,2.10986e-05,6.24975e-06,2.67367e-06,3.96156e-06,3.54155e-05,2.5492e-05,0.000554288,2.07666e-06,2.60453e-05,8.5676e-06,7.34279e-05,3.48177e-07,8.19482e-05,2.34078e-05,0.000112269,1.18946e-05,6.26267e-05,2.98562e-06,1.53294e-05,0.000214939,6.99325e-06,2.56961e-06,0.000397973,1.92354e-07,1.0831e-05,7.73032e-05,0.000133107,2.66331e-06,8.66099e-06,6.02615e-05,2.15732e-05,6.3494e-07,4.87869e-06,5.44161e-05,9.85263e-08,0.000265241,7.87172e-06,0.0010003,1.6149e-05,2.39016e-05,0.00455544,3.62845e-06,4.10816e-06,1.55644e-05,0.00516962,0.000641622,0.000479353,0.000348734,2.45614e-06,9.67183e-05,0.000696462,2.17814e-06,0.000191664,6.37423e-06,0.000817111,1.04995e-06,0.00024747,1.62377e-05,0.000301903,0.00032305,8.26817e-07,9.23304e-06,3.2326e-05,4.3758e-05,5.86379e-06,1.77186e-06,5.55702e-08,7.16714e-06,0.000409108,0.000133281,0.000120737,4.46099e-05,8.54875e-07,4.15843e-05,1.57789e-06,0.000112498,5.907e-07,0.000640357,5.51099e-05,0.00058119,0.000159466,0.000303508,7.60435e-07,3.75506e-06,6.14786e-05,3.60876e-05,4.65623e-05,0.000292069,0.000653149,1.23111e-06,4.36861e-05,5.20003e-05,0.00270303
23,2.72325e-09,1.62579e-05,2.64965e-06,1.46729e-05,3.55176e-06,0.000259686,4.55263e-06,3.08057e-09,3.00702e-10,9.70334e-07,1.34165e-09,1.20282e-06,5.63336e-07,6.65616e-10,4.53944e-08,0.000984124,5.52487e-07,1.43183e-08,6.72904e-05,7.3791e-07,1.80719e-05,2.32287e-06,1.32924e-05,8.83226e-07,2.04857e-05,3.85792e-07,1.21304e-05,8.90178e-05,0.980969,0.00720326,8.78193e-05,1.31812e-08,6.19223e-07,8.6235e-08,5.73759e-05,5.56845e-06,6.52827e-07,0.000112315,1.88077e-07,0.000208945,2.09925e-06,8.31545e-10,0.000946283,3.44679e-07,6.89474e-08,5.20618e-08,3.11593e-09,2.46674e-08,1.94192e-09,4.45717e-08,4.59651e-06,0.000360031,1.8605e-09,6.11631e-08,1.23699e-07,0.000241095,0.00591935,4.92007e-07,2.69788e-06,3.01561e-07,1.84575e-07,0.000238939,4.05319e-07,1.34574e-05,2.42923e-07,1.869e-06,7.30899e-05,2.24759e-07,6.02563e-07,9.84915e-06,1.12365e-05,1.1611e-07,1.21174e-05,2.19292e-06,3.62682e-07,1.80375e-08,0.000436527,3.68247e-06,1.52594e-06,5.9974e-06,0.000606064,0.000194388,1.36838e-06,2.01528e-09,5.9185e-06,6.30214e-08,1.39742e-08,0.000709386,2.61422e-05,3.10105e-08,1.06461e-06,7.7105e-09,1.81213e-08,1.99736e-06,1.58487e-08,4.53047e-10,9.73995e-07,2.18948e-07,2.8955e-06
24,3.19853e-05,6.81728e-06,2.08421e-07,3.09719e-09,4.62897e-06,8.16861e-05,7.77484e-05,1.65669e-07,0.000117277,3.12761e-06,0.000181198,3.46013e-07,7.2333e-08,4.70618e-08,8.50679e-10,5.67371e-07,8.03132e-06,1.60484e-08,1.69205e-07,1.59862e-06,1.73336e-05,4.72156e-09,4.91933e-11,5.82074e-07,7.88381e-10,1.04415e-07,3.69853e-07,1.06095e-08,8.51564e-10,3.60715e-09,1.68889e-10,0.000313275,8.38729e-06,2.66443e-05,7.66751e-07,1.17292e-06,9.39272e-08,2.02431e-06,3.41109e-07,3.43668e-05,4.32027e-09,3.36215e-10,4.35737e-08,3.66624e-08,1.11189e-07,6.21283e-06,2.17733e-09,5.67949e-07,3.79579e-10,1.79649e-07,1.00257e-08,7.75555e-07,7.16969e-08,2.13219e-08,2.15892e-05,6.75063e-07,1.06028e-09,8.54944e-09,1.64569e-06,1.98554e-05,1.17471e-06,1.45491e-07,2.24296e-08,3.99568e-10,3.35504e-07,7.24924e-06,4.87905e-09,8.42044e-11,3.0763e-08,1.4683e-05,7.15289e-07,4.08195e-09,7.16194e-07,2.57602e-09,3.84887e-06,2.22724e-08,1.83112e-08,3.79996e-09,1.04608e-05,2.74539e-06,1.03344e-06,4.82267e-08,3.31747e-06,1.68155e-07,0.998977,1.43236e-08,1.37687e-09,9.24029e-09,2.04755e-09,5.545e-08,5.79023e-08,1.20719e-08,2.1554e-06,3.64418e-08,3.60596e-08,1.0842e-09,1.46541e-10,2.07653e-09,1.37977e-06
28,0.000349969,0.000152698,5.22658e-07,3.13481e-07,2.66517e-06,3.53359e-07,8.27611e-06,6.68189e-05,0.998499,6.00586e-07,0.000319007,4.69912e-05,1.06265e-05,2.48312e-06,1.57764e-05,9.15492e-06,0.000132564,7.10563e-07,4.76537e-07,9.55137e-05,1.97839e-07,2.36256e-08,1.52121e-09,2.50389e-10,9.66596e-10,1.39667e-08,2.01423e-07,3.5306e-09,2.73903e-09,2.20939e-09,2.40729e-09,1.4675e-08,1.06226e-05,2.13709e-05,6.78178e-08,9.24083e-07,7.27852e-10,1.97717e-07,1.70701e-10,3.19147e-07,1.02789e-08,4.84118e-07,8.27592e-09,6.96132e-09,1.16505e-07,4.92531e-07,5.6632e-08,4.19515e-06,1.17612e-06,1.50225e-06,7.59542e-10,3.89527e-10,3.52681e-07,8.04661e-06,1.5605e-06,1.58869e-07,6.23262e-08,4.31652e-09,5.3908e-07,2.54913e-08,1.21768e-07,2.75867e-09,1.56358e-07,3.07233e-08,3.15018e-07,3.02231e-06,1.31153e-08,5.47755e-09,6.25501e-08,4.00534e-06,5.82558e-09,5.56251e-10,4.08701e-09,2.37143e-07,6.73173e-07,9.9132e-07,3.37457e-09,1.39355e-07,3.99203e-05,8.93175e-09,1.02007e-07,4.08677e-09,5.3453e-08,3.4352e-06,7.69411e-06,6.59722e-07,3.70395e-07,1.44803e-07,9.57372e-10,1.1972e-05,1.08804e-06,1.27631e-05,3.7125e-07,8.8922e-06,0.000122446,2.04918e-06,2.01943e-10,2.08885e-08,1.03189e-05
