id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.51734e-07,1.19207e-07,2.59704e-09,0.00120437,7.58678e-08,1.54138e-09,2.60729e-06,7.15214e-11,1.32117e-08,2.53138e-07,3.09305e-08,7.74837e-08,1.05907e-07,3.7023e-09,1.85309e-08,8.23218e-08,3.01945e-08,3.71213e-09,1.77268e-06,1.21699e-06,3.19913e-06,2.78239e-10,1.32595e-07,4.6701e-08,2.07232e-07,5.24429e-08,2.22715e-06,2.09013e-07,2.58608e-07,6.1762e-08,4.77231e-07,6.60471e-07,9.09578e-06,1.08806e-07,1.50597e-07,1.14274e-07,3.87217e-06,5.58161e-09,1.02297e-09,6.7483e-08,2.28599e-09,3.69939e-07,1.89219e-07,1.7215e-06,1.06786e-08,9.08149e-06,1.03628e-05,8.19809e-08,2.07953e-08,1.95801e-07,4.75344e-05,0.998224,5.35714e-08,1.83358e-07,6.50925e-08,9.32487e-05,1.49934e-06,2.61552e-10,5.86428e-05,3.07363e-07,3.05107e-06,1.52782e-07,3.37996e-08,1.26445e-07,6.80833e-06,2.24697e-06,4.44966e-10,1.89885e-08,7.68278e-08,1.81606e-05,4.73897e-08,5.25517e-09,7.67364e-09,1.314e-08,8.82493e-06,9.86747e-08,1.53062e-06,5.37632e-08,2.31118e-08,4.48987e-05,2.70318e-06,1.19776e-06,1.06822e-05,2.22583e-07,7.41091e-05,2.5241e-06,1.9953e-08,2.14885e-06,2.12578e-08,2.98092e-08,0.000129856,1.52253e-07,6.46674e-08,1.0373e-05,2.45061e-08,6.31473e-10,2.55873e-07,6.02132e-08,5.4535e-08
7,3.77369e-07,1.51823e-06,8.23509e-07,0.000134926,2.93598e-06,1.03544e-06,0.000123282,1.15628e-08,1.71404e-07,1.22694e-05,2.87272e-06,5.10866e-06,3.48134e-07,2.23384e-06,2.37788e-06,4.79947e-07,8.46251e-07,3.90925e-07,4.93212e-06,0.00017354,1.30781e-06,9.03071e-08,8.9382e-07,3.31042e-07,5.49235e-07,1.66646e-06,8.38136e-06,2.97954e-06,1.96532e-05,5.69527e-08,5.79153e-05,2.96067e-06,1.91609e-06,2.35574e-07,7.07912e-06,2.04202e-06,6.6061e-05,5.18521e-09,1.27888e-08,1.07341e-06,7.69391e-09,2.0857e-06,6.51555e-06,2.36439e-05,1.53995e-07,1.31349e-05,0.000127725,0.000214923,6.71579e-06,1.02747e-06,0.990056,0.0005756,6.77479e-06,0.00101485,4.71905e-05,0.000460537,0.00119727,3.04422e-09,7.38094e-06,1.34997e-06,3.79138e-05,8.58983e-06,2.96774e-07,1.58199e-05,1.77436e-05,5.93935e-07,1.91516e-07,3.80504e-06,1.28546e-05,0.00397617,3.71865e-07,1.56491e-07,6.21678e-08,5.57688e-06,0.000238683,2.64432e-06,3.33205e-05,1.95462e-06,6.21467e-06,0.000123986,0.000199708,9.82997e-06,2.02407e-06,0.000610564,6.95418e-05,2.6371e-06,2.31683e-05,5.55395e-05,4.26551e-07,4.78412e-07,8.04198e-06,4.37273e-07,2.66461e-06,1.45226e-06,1.82516e-05,2.66504e-08,3.61666e-05,2.12166e-07,6.27966e-05
9,8.30635e-07,0.994228,1.14885e-05,9.35844e-07,0.00169547,1.02942e-06,2.68184e-07,1.32785e-09,0.0018615,7.04511e-06,4.12182e-06,1.33044e-05,2.75352e-08,7.52363e-09,2.42777e-07,2.1721e-07,0.00106575,2.95527e-10,6.07997e-08,2.65305e-06,1.87476e-09,1.21759e-08,2.4954e-12,5.18287e-12,4.46255e-11,1.3059e-05,5.08147e-06,1.12254e-09,5.12488e-09,3.374e-10,1.62143e-08,1.52982e-06,1.25086e-06,2.02126e-05,1.1599e-06,4.84865e-05,1.93301e-08,5.43777e-12,1.9707e-12,2.1251e-06,3.09082e-06,1.52848e-08,1.66762e-09,1.79445e-08,3.69535e-09,4.99878e-08,5.62903e-10,1.02072e-05,3.89381e-06,6.22851e-07,1.60614e-07,6.18043e-11,8.19891e-09,2.64141e-07,3.08485e-08,6.28953e-10,5.87309e-06,1.18499e-11,6.61827e-09,6.97532e-10,6.19384e-07,1.12275e-09,5.99321e-09,5.62531e-09,2.70992e-09,2.97249e-07,3.49504e-09,1.6802e-09,2.98795e-10,6.21878e-06,1.33191e-08,1.03567e-09,6.42923e-07,1.84311e-06,1.86443e-06,4.23413e-09,7.27221e-10,1.1789e-08,2.81135e-06,5.69103e-09,8.07495e-09,8.42739e-10,1.84358e-10,5.76874e-09,1.59334e-06,3.98156e-06,4.81078e-08,2.76631e-07,2.27349e-10,7.02522e-07,8.842e-08,3.14523e-08,9.9257e-09,1.98633e-09,3.76007e-08,7.50882e-08,1.40491e-09,5.78027e-10,0.00096891
12,5.03159e-07,0.000366161,1.16139e-07,1.48973e-06,2.06334e-06,8.01716e-09,5.0626e-05,8.92964e-09,0.00120173,3.46632e-05,5.73783e-07,0.000808927,0.00572909,0.00697775,0.000501858,1.19423e-06,1.77654e-05,3.00692e-05,4.03428e-07,0.947895,2.32933e-07,1.64415e-08,1.92549e-06,1.48521e-09,2.30731e-08,3.72806e-07,0.00194768,6.18404e-06,5.83553e-10,5.24243e-09,1.1616e-08,1.81362e-08,9.22714e-08,1.81424e-07,5.16027e-08,3.81993e-06,1.07315e-06,1.08939e-08,1.25131e-10,7.66873e-09,6.40958e-10,0.000721145,1.71162e-08,8.73492e-08,4.67459e-07,2.26666e-07,1.12147e-06,0.0100835,1.35113e-05,5.01288e-07,1.46781e-06,6.65123e-08,1.35374e-06,2.91103e-06,1.16629e-05,1.42421e-06,3.90434e-07,7.52202e-10,0.000136412,1.25962e-07,5.15064e-06,1.15005e-07,9.8598e-06,5.13984e-06,9.14042e-07,1.27611e-06,2.04117e-05,2.24022e-06,6.93179e-08,1.52622e-06,1.41134e-07,8.00565e-10,7.99191e-09,1.42418e-06,3.85653e-06,9.67787e-06,9.90946e-08,0.000116547,1.30622e-05,2.79296e-06,0.0011432,1.78545e-07,2.31708e-06,1.92364e-06,1.91473e-06,5.73126e-05,5.91867e-06,2.43123e-07,2.05047e-08,3.36935e-05,1.8262e-07,8.55391e-05,6.26027e-07,0.000204455,0.000788874,0.0203928,6.085e-07,1.19125e-06,0.000526834
13,1.00171e-07,4.17398e-07,1.36033e-10,3.41961e-08,6.08913e-08,5.55494e-11,5.01392e-07,2.88186e-11,1.59945e-05,1.60047e-06,2.59229e-08,0.000326574,3.79657e-07,3.08125e-06,0.999388,6.63612e-10,3.25069e-05,1.07871e-09,4.16561e-07,4.84468e-08,4.00772e-07,2.93525e-10,1.79219e-07,1.49372e-10,4.92624e-09,1.26255e-08,9.89335e-06,3.76104e-09,1.11749e-11,3.99884e-12,7.83985e-11,6.76968e-12,1.52233e-11,1.4998e-10,3.67403e-11,2.77755e-07,3.86443e-10,6.11201e-12,1.58997e-12,3.1852e-11,3.37009e-11,3.069e-08,4.62925e-11,8.81329e-08,1.34028e-10,1.61097e-12,8.9575e-10,1.15805e-06,2.14622e-05,3.20477e-06,1.4337e-09,8.49478e-10,1.80521e-09,4.61978e-09,4.15122e-09,1.35145e-09,1.84992e-09,2.47068e-12,4.25816e-09,7.06788e-10,1.23264e-08,1.82727e-09,4.50484e-10,3.60185e-07,2.64032e-09,9.65687e-11,9.37649e-10,1.44333e-10,1.00501e-10,2.40614e-09,2.35008e-08,8.7574e-10,1.18983e-11,5.39219e-09,3.50891e-07,4.68279e-09,5.52298e-10,4.9849e-07,3.24656e-07,4.74076e-08,2.43192e-06,2.04407e-11,2.50195e-09,9.0485e-10,4.63437e-09,2.89003e-09,1.34704e-08,5.20858e-10,3.90191e-10,2.12505e-06,1.49974e-09,2.09043e-06,2.71322e-08,0.000145451,2.97055e-05,1.04882e-05,8.4645e-08,2.62024e-08,3.31055e-09
16,2.52167e-05,5.90344e-06,2.16186e-06,0.799057,1.0077e-05,1.59618e-07,2.81126e-05,2.07812e-05,2.72624e-05,4.72872e-06,0.000210481,5.9527e-05,0.000144852,0.000219093,0.00012479,5.46302e-06,9.5917e-06,5.95693e-05,9.01625e-05,0.00141134,1.17214e-05,1.18606e-05,5.03573e-05,8.07124e-07,8.80216e-05,6.60782e-05,0.01606,6.14946e-05,0.000152048,7.94274e-08,2.16119e-05,6.33639e-06,1.43965e-05,1.29823e-06,5.88512e-06,4.91883e-05,0.000122222,9.77191e-08,2.97843e-07,3.59675e-06,4.0716e-07,0.00170876,0.000149943,0.000888883,4.95361e-06,8.09906e-05,0.00271852,1.76775e-05,9.34806e-06,1.82663e-05,4.35997e-05,6.74173e-05,0.00928774,2.66038e-05,6.52326e-06,1.3991e-05,2.06891e-05,4.80265e-07,0.00061703,4.29803e-06,0.000160475,6.1393e-06,0.000287758,2.76942e-05,8.70544e-06,4.23078e-05,2.72156e-05,0.000515675,7.43459e-05,0.000517662,1.65991e-05,2.02043e-06,4.33703e-07,0.000651742,6.66287e-05,0.000733856,7.70416e-06,0.000204778,7.72705e-07,0.000246487,1.37864e-05,0.00127014,3.79161e-06,0.0482485,1.31953e-05,0.000244012,0.109102,6.01119e-06,2.74478e-05,0.000365608,7.56918e-05,0.000122873,0.000304371,0.000877747,0.00122535,1.04775e-05,4.37735e-05,0.000440473,7.6291e-05
19,1.22703e-05,3.64858e-06,3.30669e-07,0.987029,1.91114e-06,6.5551e-08,5.26043e-06,8.31193e-09,5.38251e-07,1.57017e-06,2.24168e-05,2.5641e-06,5.20952e-05,7.07075e-07,2.5498e-06,7.96267e-07,1.87601e-05,7.59526e-08,3.83231e-05,1.33262e-05,8.07232e-06,2.14624e-06,2.98926e-06,8.23817e-07,7.00954e-06,6.4101e-05,1.65269e-05,2.59525e-06,2.8642e-05,7.65475e-08,3.648e-06,3.63471e-05,7.966e-06,1.22588e-07,1.3192e-06,6.64797e-06,1.83837e-05,3.78346e-08,9.13306e-08,5.08423e-06,1.06002e-08,5.702e-05,1.70828e-06,0.000219831,5.26197e-07,1.51426e-06,0.00389454,3.35579e-06,5.59039e-06,4.40756e-06,0.00312525,0.000883843,5.33111e-05,0.000353945,3.91292e-06,4.41096e-05,0.00058432,7.83065e-09,4.26119e-05,1.13403e-06,0.000356185,8.51991e-07,3.57129e-06,4.17053e-06,5.73058e-05,7.99151e-05,7.97095e-08,1.86824e-06,5.7021e-06,1.93229e-05,1.31491e-06,7.98075e-08,2.78155e-08,3.46466e-06,0.000118905,1.97878e-05,9.51284e-06,7.72352e-06,1.03735e-07,5.08473e-05,2.50897e-06,2.41983e-05,7.06275e-07,2.83098e-05,2.49013e-05,0.000265078,3.495e-05,9.18027e-05,2.50026e-07,1.14255e-06,4.14456e-05,1.19916e-05,7.34638e-06,8.97785e-05,4.64375e-05,2.09355e-07,4.43544e-05,1.99216e-05,0.00182374
23,1.54475e-09,2.9933e-06,1.53404e-07,2.13215e-06,1.11149e-07,9.57725e-05,7.24096e-07,3.96519e-12,1.36402e-10,3.78043e-07,4.19824e-10,3.3177e-08,6.52294e-09,5.46008e-11,2.68369e-09,0.00113245,1.08133e-07,3.92072e-11,5.80257e-07,1.91333e-07,1.02809e-05,1.38535e-07,9.0219e-07,2.55301e-07,5.66467e-06,1.99481e-07,6.97067e-06,2.83947e-05,0.975972,0.0192389,2.65749e-05,3.47417e-09,1.06511e-08,1.30105e-08,3.79565e-05,4.47488e-07,2.93383e-07,1.49563e-05,5.73687e-08,2.49046e-05,9.71356e-07,4.59306e-11,0.000444632,2.81107e-07,6.80825e-09,1.67302e-11,8.21448e-10,2.42883e-08,2.63361e-10,1.14678e-08,2.95277e-07,3.97563e-05,8.98767e-11,6.6871e-10,2.54025e-07,3.31166e-05,0.00215035,1.86408e-09,4.0186e-08,2.04305e-08,8.59017e-08,3.59596e-05,1.6967e-07,6.06905e-06,1.68769e-08,2.09492e-07,3.12993e-06,2.04563e-06,2.04364e-07,2.13269e-06,3.43323e-06,3.48473e-09,4.95393e-06,4.95487e-07,4.30165e-08,2.2908e-09,0.000236566,6.35306e-07,3.49489e-07,2.09007e-06,2.62693e-05,2.76354e-05,2.05806e-07,5.43859e-11,2.89013e-06,1.09883e-08,5.10007e-09,0.000327781,3.46005e-05,5.02911e-09,2.8603e-06,4.34249e-09,2.52333e-09,2.27106e-07,1.05172e-10,4.12824e-11,2.77051e-06,6.02729e-07,8.76996e-07
24,2.44626e-05,4.34658e-07,6.25037e-08,9.26634e-10,2.10514e-07,5.03668e-06,3.66409e-05,2.83477e-11,5.4068e-05,7.83771e-07,1.03987e-05,3.1891e-08,3.69904e-10,1.00247e-09,1.21592e-10,9.95182e-08,4.03202e-06,4.01676e-10,4.19812e-09,1.44715e-06,3.09888e-06,1.59881e-09,3.33237e-11,5.94338e-08,2.78496e-10,5.95306e-08,1.26597e-07,4.62493e-09,1.5645e-10,4.34333e-10,7.38953e-11,0.000115056,3.98724e-07,8.97952e-07,1.48985e-06,5.30328e-08,2.8403e-07,3.53565e-08,9.87918e-11,1.1409e-05,2.82675e-10,8.05255e-11,1.95378e-09,7.16314e-09,1.32099e-09,5.54267e-07,4.88447e-09,7.16462e-08,3.32153e-11,2.65684e-08,1.44632e-09,4.70075e-07,1.08655e-10,1.82235e-11,3.04282e-06,9.83848e-09,2.53367e-10,1.71572e-11,9.8263e-07,3.79435e-06,2.43449e-08,9.48865e-09,4.21349e-10,1.67742e-10,1.34558e-08,5.47319e-06,5.86215e-11,3.11949e-10,4.53004e-08,3.29117e-06,1.94582e-06,1.01413e-10,1.15843e-05,8.48827e-10,1.17869e-06,6.10717e-10,7.00203e-09,6.69477e-10,4.144e-05,1.08785e-06,6.25088e-07,1.84377e-08,1.04663e-06,2.28387e-09,0.999652,7.77661e-10,2.99248e-10,1.30601e-08,8.74913e-10,1.2597e-08,2.72348e-08,9.94697e-10,1.48531e-07,2.79313e-08,8.06888e-10,4.38698e-11,1.73975e-10,2.48731e-10,2.58577e-08
28,9.80635e-05,0.000518808,3.17471e-06,9.68566e-08,5.74249e-07,1.9394e-07,7.54831e-06,2.15335e-09,0.998208,2.00226e-07,0.000149741,1.17178e-05,1.04223e-06,7.47799e-07,5.1684e-06,8.19744e-08,0.000112574,1.06343e-07,1.07464e-07,0.000220242,1.89403e-08,3.3937e-08,4.53764e-11,2.54342e-12,2.56721e-10,4.43458e-09,3.04134e-07,3.38586e-09,4.23513e-10,5.01949e-10,2.27444e-09,2.65724e-08,4.83468e-06,2.70082e-05,4.96975e-07,4.60046e-07,4.17684e-09,2.01979e-10,2.24445e-13,7.74405e-07,3.47336e-08,4.67871e-07,2.08981e-09,3.5303e-09,4.9855e-09,2.91622e-07,3.86079e-08,1.01658e-06,2.73036e-07,4.98623e-07,8.59907e-10,2.0632e-10,2.28805e-08,4.91495e-08,7.01546e-07,4.57878e-09,6.69614e-09,1.20441e-11,2.22128e-07,1.23919e-09,4.07173e-08,2.12064e-09,8.98621e-09,3.48737e-08,9.24793e-09,1.52965e-06,1.08957e-09,2.14657e-08,6.15874e-08,2.59474e-06,3.2814e-09,8.16287e-12,2.13728e-08,5.19345e-08,2.23903e-07,5.22103e-08,7.93582e-10,2.05091e-08,0.000554592,3.87218e-08,1.62464e-07,8.8549e-10,3.20356e-08,1.83697e-07,4.28973e-06,2.2069e-07,1.52709e-07,7.05862e-08,1.91675e-10,4.53494e-06,1.40022e-07,6.61872e-07,5.21825e-08,1.22642e-06,1.18873e-05,6.31186e-07,2.56607e-10,1.19512e-09,4.05928e-05
