id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.08045e-34,2.97375e-26,0.0,1.45701e-14,2.08186e-15,8.06365e-23,0.0,8.35727e-10,1.73555e-21,4.66595e-17,0.692253,1.71893e-29,6.16442e-27,0.0,0.0,0.0,4.43093e-12,3.23449e-12,1.09963e-13,1.78413e-37,5.89836e-25,0.0,0.0,0.0,1.04086e-24,0.0,1.36635e-08,0.0,0.0,0.0,0.0,2.08984e-38,0.0,1.75457e-31,0.0,6.75742e-10,3.53624e-27,0.0,0.0,0.0,0.0,0.0,2.22127e-32,1.33041e-22,0.0,0.0,1.0053e-23,0.0,2.29783e-16,1.91833e-09,1.28694e-24,0.307746,8.31077e-29,2.71805e-19,1.20227e-21,2.72613e-09,3.12104e-36,0.0,2.90168e-11,3.28423e-20,9.09613e-30,4.88957e-29,0.0,1.8177e-23,3.73412e-26,0.0,0.0,0.0,0.0,9.56902e-16,1.18713e-35,1.76768e-13,0.0,8.9545e-22,8.19462e-34,2.05038e-08,4.14078e-19,0.0,3.11839e-30,1.17049e-11,5.33271e-16,9.03335e-21,6.74388e-17,2.4645e-25,3.22592e-14,0.0,8.32301e-31,0.0,0.0,7.60756e-23,4.16946e-10,4.54156e-37,5.15618e-08,3.58761e-11,3.07104e-22,4.65602e-07,0.0,0.0,0.0
7,0.0,5.39022e-30,4.15039e-18,2.32846e-34,8.39945e-10,0.657114,8.71131e-28,0.0,1.28146e-29,3.12003e-22,9.05083e-21,0.0,0.0,0.0,0.0,1.30198e-30,1.9722e-33,0.0,5.65253e-35,2.93661e-30,0.0,0.0,2.86004e-25,0.0,3.32696e-19,0.0,9.47124e-34,0.0,0.0,2.27057e-32,0.0,1.91073e-33,1.56263e-24,9.44798e-16,2.82603e-20,0.001754,8.63455e-13,4.30319e-36,0.0,0.0,3.79419e-23,0.0,5.27401e-33,1.05687e-32,0.0,0.0,1.02082e-27,0.0,0.0,0.0,4.32735e-09,0.00415041,0.0,1.49799e-25,4.30012e-20,5.07452e-05,1.38329e-16,0.0,0.0,0.00271258,0.0,1.63039e-23,0.0,2.12582e-07,2.82614e-15,0.0,0.0,3.68433e-33,4.12836e-33,8.15821e-08,7.43787e-14,3.23077e-13,1.84773e-20,7.25368e-20,0.0,3.11009e-32,5.85503e-21,0.0,2.87927e-06,6.76605e-19,0.00469233,2.17853e-18,0.329523,1.80193e-25,1.48821e-16,0.0,0.0,3.12385e-34,2.56166e-24,0.0,1.96834e-15,0.0,1.3151e-21,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.99683,1.98326e-34,0.0,2.6374e-14,1.82275e-21,2.34672e-25,0.0,3.47648e-23,0.0,0.0,0.0,3.21541e-29,0.0,0.0,4.02572e-29,0.0,0.0,0.0,0.000214753,0.0,0.0,0.0,0.0,0.0,0.0,9.23735e-34,0.0,0.0,0.0,0.0,8.11544e-29,6.45321e-22,8.40499e-06,0.0,1.00115e-14,0.0,0.0,0.0,0.0,2.19555e-29,0.0,0.0,0.0,0.0,3.36015e-11,2.93365e-16,1.77071e-22,0.0,0.0,2.02646e-26,6.74195e-26,0.0,4.12393e-19,7.8348e-26,0.00294693,3.25936e-26,0.0,0.0,0.0,0.0,0.0,0.0,5.36926e-29,1.41006e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98166e-27,0.0,0.0,0.0,4.26044e-12,0.0,1.57198e-29,0.0,1.12836e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05238e-18
12,0.0,5.05428e-05,6.57825e-30,0.0,5.48623e-19,8.20747e-21,1.86311e-27,0.0,1.68337e-23,0.0,0.0,0.0,4.9268e-25,4.65238e-37,0.0,1.94492e-27,0.0,0.0,0.0,0.999949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28211e-18,3.04391e-21,1.9016e-07,0.0,6.29492e-15,1.77001e-38,0.0,0.0,0.0,8.94067e-25,0.0,0.0,0.0,0.0,1.03133e-08,3.12164e-11,2.44834e-25,0.0,0.0,3.9394e-27,1.40161e-27,0.0,2.10953e-22,9.43971e-22,8.21246e-11,9.05221e-31,0.0,0.0,0.0,0.0,0.0,0.0,2.42399e-29,1.27824e-19,1.63752e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237e-17,0.0,0.0,0.0,6.25236e-12,0.0,6.09748e-36,0.0,4.72218e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89673e-11
13,0.0,0.0,0.0,0.0,1.63044e-35,0.0,0.0,0.0,3.81442e-20,1.9344e-29,4.0357e-34,0.115696,0.0,1.42695e-20,0.884304,0.0,1.34553e-26,1.93836e-35,0.0,0.0,2.54085e-17,0.0,0.0,0.0,1.70099e-37,0.0,0.0,0.0,4.38583e-23,8.21301e-34,0.0,0.0,0.0,1.37473e-37,0.0,0.0,1.10097e-31,1.10942e-27,6.45258e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13566e-32,0.0,0.0,0.0,9.00289e-29,0.0,0.0,0.0,0.0,0.0,0.0,3.43458e-34,0.0,0.0,1.99525e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93143e-16,1.99031e-31,0.0,0.0,0.0,1.29058e-16,0.0,0.0,0.0,0.0,3.99902e-30,2.38348e-25,0.0,0.0,1.70559e-09,0.0,1.04703e-27,0.0,0.0,0.0
16,0.0,0.0,5.86794e-37,0.0082663,0.0,1.63465e-37,0.0,1.24823e-21,0.0,0.0,1.81214e-12,0.0,3.61478e-21,0.0,0.0,0.0,0.0,5.92e-32,1.12269e-10,0.0,0.0,0.0,0.0,0.0,1.32806e-34,0.0,5.36351e-34,7.69168e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23427e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82771e-15,0.0,0.0,3.91736e-24,0.0,3.94439e-35,1.45081e-27,1.97246e-19,2.28919e-17,9.33568e-06,3.13789e-20,3.1571e-19,0.0,9.1119e-32,0.0,1.36078e-21,3.93826e-35,1.33932e-14,0.0,6.02966e-31,2.27154e-27,0.0,0.0,0.0,0.0,4.22319e-12,2.02074e-16,0.0,5.18477e-26,2.63359e-30,4.45566e-14,0.0,1.29555e-07,1.24049e-10,2.49639e-33,0.0,2.38628e-26,0.0,5.07226e-20,1.15996e-33,1.31376e-26,0.0,1.52965e-08,0.982248,5.14174e-26,0.0,2.96553e-31,0.0,6.93448e-31,0.00947613,0.0,1.60245e-23,1.80922e-37,0.0,5.06794e-09,8.70866e-35
19,1.40041e-15,0.0,4.6633e-26,1.0,0.0,4.19419e-28,0.0,1.43901e-38,0.0,7.32839e-31,2.06991e-13,0.0,4.93895e-16,0.0,0.0,0.0,0.0,0.0,1.30722e-14,0.0,5.20964e-27,1.76344e-29,0.0,0.0,7.03297e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.16673e-13,0.0,0.0,0.0,1.27731e-21,8.71313e-34,0.0,0.0,0.0,0.0,1.79737e-31,0.0,1.44053e-24,0.0,0.0,7.64308e-11,0.0,1.36805e-29,0.0,2.08176e-25,5.47687e-17,3.05491e-19,3.9895e-32,1.67333e-11,0.0,0.0,0.0,0.0,2.65978e-33,2.427e-07,0.0,7.36432e-38,3.28286e-28,0.0,2.10944e-10,0.0,0.0,4.72935e-08,3.08377e-37,0.0,5.71296e-27,3.237e-31,4.95585e-32,1.65005e-15,9.26263e-20,5.16365e-13,0.0,0.0,7.67496e-24,0.0,0.0,0.0,0.0,2.68372e-27,6.05049e-10,2.82341e-22,5.0192e-29,0.0,0.0,0.0,4.99137e-09,2.65441e-16,1.39688e-37,2.36705e-17,0.0,0.0,1.97272e-18,3.169e-23
23,0.0,0.0,0.0,0.0,3.52761e-31,2.12697e-24,3.64447e-35,0.0,1.43497e-31,1.80663e-31,4.81952e-32,3.20309e-27,0.0,0.0,1.46167e-28,0.0,0.0,0.0,0.0,0.0,6.63835e-36,0.0,4.46539e-34,2.40126e-29,1.81524e-20,0.0,0.0,3.96648e-29,0.999975,4.07275e-12,4.45219e-29,0.0,0.0,5.79178e-31,1.89785e-14,2.42779e-29,1.45997e-12,5.69283e-19,4.02841e-18,0.0,3.75126e-38,0.0,9.83318e-27,1.22713e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73397e-16,0.0,0.0,0.0,2.1344e-37,0.0,2.79204e-24,2.09613e-37,6.36764e-20,0.0,3.10971e-15,4.66014e-35,0.0,0.0,0.0,0.0,0.0,0.0,4.63277e-32,5.6875e-18,1.80374e-31,1.29097e-35,9.05702e-28,0.0,0.0,0.0,0.0,4.03746e-33,2.50601e-05,1.03745e-17,3.21194e-23,5.22239e-33,0.0,1.63466e-14,0.0,0.0,0.0,3.42152e-25,2.10842e-37,1.79898e-16,0.0,1.29784e-31,3.87985e-21,0.0,0.0,1.41954e-26,0.0,0.0
24,4.95174e-16,0.0,0.0,5.56149e-37,0.0,1.18994e-23,0.0,0.0,4.87177e-37,3.9933e-11,7.41503e-30,8.2554e-36,0.0,0.0,0.0,0.0,0.0,0.0,8.24292e-31,0.0,8.0969e-13,0.0,0.0,1.59255e-25,4.60438e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.02767e-22,0.0,0.0,0.0,1.92151e-23,8.89669e-24,2.00771e-12,1.89115e-15,6.23183e-36,2.95688e-32,0.0,0.0,7.17818e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48237e-24,0.0,0.0,2.26902e-38,0.0,0.0,0.0,0.0,5.35313e-21,2.29803e-18,8.21759e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37274e-15,1.81491e-21,2.4714e-32,0.0,3.46895e-19,0.0,4.99209e-27,0.0,3.60688e-26,6.46063e-14,3.08792e-36,0.0,0.0,0.0,0.999954,0.0,0.0,0.0,0.0,0.0,0.0,9.99003e-26,0.0,1.26346e-28,0.0,0.0,0.0,0.0,0.0
28,3.68428e-37,0.0681141,6.04963e-31,2.73758e-31,3.90388e-08,3.20389e-16,1.36453e-18,4.02793e-27,0.0013176,6.23087e-21,1.24972e-18,1.36367e-32,1.90226e-26,2.31801e-08,6.41247e-20,2.74842e-25,3.3285e-19,3.6338e-29,0.0,0.000922999,1.99412e-33,0.0,0.0,0.0,0.0,0.0,4.15999e-27,0.0,0.0,0.0,0.0,5.12336e-14,7.02267e-25,0.929629,0.0,6.50634e-09,4.67644e-18,2.30883e-36,0.0,0.0,2.17186e-23,0.0,0.0,0.0,0.0,3.8912e-06,2.6667e-12,5.61014e-11,5.47406e-33,0.0,4.62681e-26,2.08552e-09,0.0,7.58504e-24,1.28374e-22,1.20575e-05,0.0,0.0,0.0,8.99278e-27,0.0,0.0,0.0,8.22298e-28,5.894e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.20661e-30,0.0,0.0,7.19329e-11,4.17624e-37,0.0,0.0,1.11239e-11,3.71099e-28,1.06301e-17,0.0,2.33158e-20,1.44231e-36,1.88336e-20,0.0,0.0,0.0,0.0,0.0,2.45976e-29,0.0,1.20252e-37,1.38717e-35,3.2811e-26,4.07501e-24,0.0,0.0,9.46833e-32
