id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.63487e-08,1.00791e-07,2.32775e-09,0.000119787,8.6708e-08,5.04855e-10,2.29955e-07,2.63346e-09,7.20625e-10,5.12389e-08,5.86155e-09,5.45574e-08,2.4878e-09,7.51056e-10,9.49366e-09,1.49622e-08,1.34413e-08,5.82197e-10,1.32951e-07,5.21472e-08,5.33465e-07,3.97966e-11,7.71985e-08,6.9912e-09,1.52181e-08,4.80809e-09,7.84119e-08,3.26667e-08,7.29476e-08,6.00068e-08,3.30736e-08,1.14441e-07,4.64531e-06,4.67027e-07,1.20939e-08,5.33718e-08,4.96081e-08,3.36682e-10,1.23195e-09,2.81557e-08,2.18365e-09,4.15658e-08,6.51422e-08,5.44357e-07,5.07636e-08,4.11289e-06,8.93128e-07,2.05109e-09,1.0933e-09,1.13736e-07,1.48806e-06,0.999786,3.8716e-08,1.98588e-07,1.12134e-09,3.83036e-06,3.97908e-07,1.44366e-09,5.02799e-06,3.91749e-08,1.791e-06,1.75849e-08,8.42794e-08,2.59739e-08,1.81604e-06,1.20311e-07,4.24038e-10,1.05957e-09,7.95812e-09,5.46611e-07,1.31612e-09,1.70758e-09,1.46563e-09,3.82533e-10,2.043e-05,6.15218e-08,1.38981e-07,1.27374e-08,7.88183e-09,9.73931e-07,2.69436e-07,2.2947e-08,8.73268e-07,4.96692e-07,2.57322e-05,8.18026e-07,1.2291e-09,3.28326e-08,3.43608e-09,3.18206e-09,1.55229e-05,2.79164e-08,2.34731e-08,1.17614e-06,5.19163e-09,3.97661e-11,1.02136e-09,1.85902e-09,3.29649e-09
7,2.41603e-08,8.59612e-07,8.92671e-07,1.05645e-05,2.87264e-06,9.69966e-08,1.01303e-05,2.32073e-07,3.83456e-08,1.2746e-06,6.46857e-08,1.59687e-06,8.13963e-09,5.33999e-08,4.34005e-06,9.19078e-08,4.66187e-07,1.79884e-07,1.90823e-06,1.72074e-06,2.39733e-06,2.90275e-09,4.65949e-07,7.15564e-08,2.4442e-07,1.45929e-07,9.4256e-07,9.1369e-08,6.76471e-06,2.35156e-08,1.01962e-05,5.24931e-08,4.61764e-07,5.91574e-07,7.26099e-07,8.51559e-07,9.60714e-06,1.51754e-09,9.40895e-08,1.48847e-06,1.34158e-08,4.42593e-07,1.51547e-06,9.78368e-06,6.66706e-08,1.62854e-05,2.581e-06,5.5457e-05,1.92705e-06,5.60803e-08,0.998914,2.1539e-05,2.10151e-06,0.000175296,1.73793e-06,2.00833e-05,4.27438e-05,5.50799e-08,5.87471e-07,4.90283e-07,9.76043e-06,6.68939e-07,9.90317e-07,9.91796e-07,8.67284e-06,7.59943e-07,6.83872e-08,1.0504e-07,1.24478e-06,0.000263077,5.54846e-09,3.85844e-08,1.71105e-09,3.41527e-07,7.81331e-05,1.78724e-06,1.98442e-06,4.21123e-07,1.40676e-06,1.90681e-05,1.22198e-05,8.61067e-07,1.84285e-08,0.000164346,1.07546e-05,1.38993e-06,1.91361e-06,1.60222e-06,5.3309e-08,1.7643e-08,3.60493e-07,4.23766e-08,7.22188e-07,2.70406e-07,4.46496e-05,5.11222e-09,3.85507e-06,1.04998e-08,2.81837e-05
9,2.41698e-07,0.994897,2.12396e-06,7.05024e-07,0.00259327,7.89529e-06,2.76873e-07,5.36617e-05,0.000266425,1.10777e-05,6.62928e-07,1.22673e-05,2.22977e-07,2.05901e-08,3.83994e-06,1.2847e-05,0.00118612,1.50885e-09,1.77263e-07,3.78568e-06,4.08361e-08,4.31028e-08,2.56937e-11,5.52189e-11,1.75272e-10,4.52044e-05,4.36999e-07,1.51866e-10,3.34473e-08,2.20308e-08,5.61757e-09,6.61536e-08,1.39919e-05,1.58156e-05,2.19656e-07,2.76106e-06,1.20674e-07,7.70161e-09,2.24477e-09,4.59269e-05,1.04193e-07,3.21433e-09,2.95605e-09,4.40847e-08,1.0361e-07,9.97943e-06,1.00385e-10,2.85511e-05,1.41027e-05,1.48049e-06,1.73947e-08,9.54725e-11,5.42673e-08,3.21523e-06,6.12199e-09,1.27947e-09,7.41476e-06,8.08834e-09,1.84839e-08,1.6111e-08,1.63378e-06,1.04957e-09,2.14884e-07,2.07611e-09,2.08889e-07,7.91892e-07,1.5848e-07,2.64332e-10,1.69254e-11,6.65933e-06,2.05203e-09,8.19025e-08,3.2245e-08,2.68613e-06,3.67952e-06,4.51627e-08,1.94792e-09,6.06305e-07,2.29764e-06,9.00705e-09,4.25501e-09,6.97445e-10,2.89755e-11,8.39792e-08,4.05112e-06,7.6355e-05,5.5659e-08,3.05224e-07,1.61177e-09,1.16063e-06,8.54954e-07,2.05734e-07,6.53779e-08,2.11398e-09,3.38967e-07,2.76276e-07,1.47101e-09,1.54695e-08,0.000655666
12,4.75326e-09,0.000164493,5.89143e-07,3.91867e-08,4.22729e-06,1.96819e-09,0.000146777,5.01403e-07,0.000786505,1.27086e-05,4.16794e-08,0.000247534,0.000364884,0.00328101,0.000460097,2.52861e-05,5.83749e-06,4.37434e-05,2.55978e-08,0.98743,1.94885e-07,6.86646e-09,1.08648e-05,2.95695e-09,9.29673e-09,9.34531e-08,0.000151273,1.97114e-07,3.2331e-10,1.85304e-08,1.22191e-10,1.71556e-09,3.42247e-07,3.62642e-06,3.81556e-09,1.21233e-06,7.51185e-07,3.71394e-07,3.17658e-10,6.85595e-10,4.03723e-10,0.000325899,1.16032e-08,6.64065e-10,1.50478e-07,1.78821e-06,6.02093e-08,0.000195559,9.5705e-07,2.35413e-08,2.16671e-07,1.88659e-08,5.55353e-07,2.24813e-07,2.39054e-06,1.38232e-06,1.34487e-08,3.11424e-08,0.000133621,5.20105e-08,1.31047e-05,1.01408e-08,8.90374e-06,4.50303e-07,6.95474e-07,2.43934e-07,1.84408e-06,2.61843e-08,2.50561e-09,3.90853e-09,1.96226e-09,3.39618e-11,3.26893e-10,3.1112e-07,3.59493e-06,4.21288e-06,1.22626e-08,9.1648e-05,8.51988e-06,1.1437e-06,0.000720383,2.08696e-08,2.30969e-06,2.10705e-07,1.07283e-07,3.61976e-05,1.58491e-06,1.06384e-08,9.50166e-09,4.35751e-06,3.99307e-08,1.05166e-05,2.56964e-07,2.97405e-06,9.76893e-05,0.0040161,7.55997e-08,8.8351e-07,0.00116507
13,3.76596e-07,5.80109e-07,6.12434e-10,1.0594e-08,5.54e-07,1.50009e-10,9.87082e-07,2.15552e-07,8.52969e-06,3.18401e-06,1.23534e-09,0.000116886,9.70971e-07,3.12363e-07,0.999462,1.35104e-07,4.10874e-05,8.68158e-10,8.75302e-08,4.24593e-09,1.73582e-06,9.55227e-09,6.1503e-07,1.86747e-10,7.65463e-09,3.02334e-08,1.2245e-05,1.96262e-09,3.2686e-11,1.09107e-10,1.32149e-10,6.7205e-13,3.93867e-10,1.62791e-08,2.4596e-11,6.26652e-07,7.21099e-10,7.72226e-10,8.87884e-11,1.42171e-11,1.42965e-09,2.64586e-08,5.39712e-10,5.10908e-09,3.30239e-10,3.19176e-12,8.61054e-10,2.57596e-06,1.47446e-05,4.43073e-06,1.44164e-10,5.8664e-10,2.8433e-08,7.74671e-08,5.51549e-08,1.12375e-09,5.50338e-10,6.29929e-10,4.08796e-09,3.8139e-10,1.38862e-08,1.23768e-09,1.69171e-09,1.70614e-07,9.46888e-09,1.33944e-10,2.67275e-10,1.05863e-11,3.0622e-11,8.3029e-11,3.36513e-08,8.81232e-08,3.34012e-13,1.16579e-09,1.71834e-06,8.79359e-09,3.1323e-10,7.40278e-07,1.69799e-06,1.59365e-07,8.05109e-07,3.94845e-12,5.42511e-10,1.56523e-07,9.41881e-08,7.21929e-10,4.64397e-09,1.50254e-10,1.30985e-09,1.66371e-06,9.86616e-09,1.20779e-05,3.51676e-07,0.000202274,2.433e-05,8.09708e-05,1.30134e-07,3.75487e-08,1.41015e-09
16,4.22646e-06,2.76898e-06,2.22407e-06,0.884534,1.51984e-05,1.326e-07,1.08051e-05,0.00017556,7.42001e-06,9.74272e-07,9.05943e-05,3.71801e-05,0.000222751,2.57909e-05,0.000197769,9.48054e-06,9.9178e-06,7.84545e-06,1.52655e-05,0.000291071,2.71906e-05,8.45236e-06,3.83218e-05,4.18939e-07,1.55032e-05,2.44296e-05,0.00162298,6.11545e-06,0.000160247,4.44427e-09,3.32706e-06,4.7624e-07,0.000199694,2.35861e-06,6.61239e-07,4.74091e-05,6.16573e-06,2.29571e-07,4.74152e-07,1.18428e-06,1.12312e-06,0.00282833,1.68015e-05,7.73565e-05,4.60481e-06,0.000227917,0.00144347,6.89406e-07,2.9363e-07,8.16536e-06,3.38061e-06,4.24937e-05,0.00398753,2.69461e-05,5.11502e-07,4.39228e-06,1.27132e-05,1.66235e-05,0.000231382,1.22256e-06,0.000126869,2.99664e-07,0.000281832,5.48731e-06,2.69823e-05,1.92764e-05,1.7385e-06,0.000181299,0.00013929,0.000112878,6.83424e-06,6.7279e-06,3.20516e-08,0.000315674,2.59464e-05,0.000236955,1.20029e-05,9.24409e-05,1.68124e-07,4.50678e-05,2.59798e-07,0.000109264,2.36021e-06,0.0354179,8.23569e-07,3.57913e-05,0.0647131,8.8878e-07,3.03733e-06,0.000356386,1.58392e-05,4.58772e-05,5.54569e-05,0.000340472,0.000370152,3.66158e-06,2.74181e-06,0.000116863,9.39046e-06
19,5.54579e-06,1.32417e-05,2.1825e-06,0.990829,3.60433e-06,2.31831e-07,5.51262e-06,1.53314e-06,4.19947e-07,1.00765e-06,7.3533e-06,7.19769e-06,0.000198737,3.73572e-07,7.2212e-06,1.97338e-06,2.16824e-05,4.36547e-08,2.32882e-05,6.39372e-06,3.70313e-05,2.42e-06,1.62147e-05,4.77073e-07,3.906e-06,8.60008e-05,1.29489e-06,4.94535e-07,0.000128004,1.49567e-08,1.73242e-06,1.92328e-05,4.01841e-05,4.89173e-07,1.71469e-06,2.49435e-05,4.09814e-06,1.25509e-07,8.55557e-07,1.59734e-05,8.55429e-09,7.9262e-05,1.73709e-06,0.000402995,4.82896e-06,5.56932e-06,0.00185646,6.26825e-07,5.1255e-07,3.73442e-06,0.00214339,0.000181411,0.000152068,8.82163e-05,3.52604e-07,2.04873e-05,0.000244011,4.0724e-07,6.65407e-05,1.38e-06,0.000344342,1.53302e-07,0.000104296,4.18524e-06,9.73196e-05,0.000142734,1.13146e-07,2.18446e-06,7.63966e-06,6.73681e-06,1.23781e-06,2.7038e-07,5.00649e-09,1.59099e-06,0.000137321,4.30176e-05,4.572e-05,1.46851e-05,1.37873e-07,1.05803e-05,2.06445e-07,2.93333e-05,8.51893e-08,0.000214747,1.56317e-05,0.000178484,4.84121e-05,0.000115009,1.42614e-07,8.6771e-07,1.83351e-05,9.39702e-06,1.38715e-05,9.38157e-05,0.000259421,2.02326e-07,9.05571e-06,1.61901e-05,0.00123751
23,1.46434e-10,3.95015e-06,3.77615e-07,2.72755e-06,7.24925e-07,7.62847e-05,7.91809e-07,2.27794e-10,1.29915e-11,1.68135e-07,7.2272e-11,2.66239e-07,7.80844e-08,3.18951e-11,4.7137e-09,0.000346349,7.70672e-08,1.5274e-09,1.95859e-05,9.21555e-08,4.12633e-06,2.95865e-07,2.39791e-06,6.83417e-08,4.44573e-06,3.56797e-08,2.61648e-06,2.02232e-05,0.992389,0.00312128,1.46114e-05,6.84972e-10,7.39796e-08,8.51613e-09,1.10028e-05,1.10535e-06,5.30391e-08,3.48747e-05,9.70357e-09,5.73101e-05,2.09975e-07,3.34035e-11,0.000308812,4.13256e-08,7.30867e-09,3.88474e-09,1.81496e-10,1.74514e-09,9.7494e-11,5.90543e-09,5.56481e-07,0.000106119,7.58168e-11,4.285e-09,7.99265e-09,6.43097e-05,0.00274933,5.85098e-08,5.4197e-07,3.43501e-08,2.16481e-08,5.68112e-05,5.99925e-08,2.93113e-06,1.95599e-08,3.22345e-07,2.16689e-05,1.6877e-08,7.28054e-08,9.59231e-07,1.76526e-06,7.83931e-09,1.7353e-06,3.74545e-07,4.00926e-08,1.77219e-09,0.000118249,6.67095e-07,1.62157e-07,1.0032e-06,0.00018479,5.89552e-05,1.18519e-07,9.9975e-11,1.04857e-06,3.18058e-09,8.40897e-10,0.000195304,6.53354e-06,3.68439e-09,9.5891e-08,6.33268e-10,1.81835e-09,3.48412e-07,1.57044e-09,2.4992e-11,8.25058e-08,1.93073e-08,4.19505e-07
24,6.5931e-06,1.17376e-06,1.77401e-08,1.73428e-10,7.72059e-07,2.10788e-05,1.87857e-05,2.06803e-08,2.98196e-05,5.51351e-07,6.09289e-05,4.52931e-08,9.39743e-09,5.06028e-09,4.30386e-11,8.78246e-08,1.38635e-06,1.23675e-09,2.15541e-08,2.47356e-07,3.70968e-06,2.3856e-10,1.43414e-12,6.94306e-08,5.02325e-11,1.05797e-08,6.78234e-08,1.15848e-09,4.1822e-11,1.63749e-10,4.83865e-12,6.72889e-05,1.65562e-06,5.38873e-06,1.11099e-07,1.63935e-07,7.65577e-09,3.10982e-07,2.84567e-08,7.98377e-06,1.54836e-10,1.10556e-11,4.841e-09,4.58431e-09,1.53374e-08,9.59487e-07,9.26982e-11,7.56798e-08,1.2884e-11,2.23155e-08,6.2252e-10,1.11137e-07,8.35447e-09,1.98043e-09,5.01778e-06,7.76579e-08,6.01239e-11,7.29153e-10,2.44058e-07,3.43445e-06,2.10057e-07,1.94754e-08,2.49319e-09,1.58013e-11,3.84221e-08,1.00644e-06,4.08517e-10,2.13865e-12,2.39334e-09,3.32847e-06,8.75289e-08,1.49972e-10,8.58181e-08,1.50288e-10,5.40677e-07,2.1138e-09,1.2716e-09,2.7507e-10,1.95495e-06,5.14629e-07,1.49501e-07,4.67815e-09,3.92508e-07,2.29808e-08,0.999753,1.1531e-09,9.51304e-11,5.5554e-10,1.41228e-10,6.43368e-09,5.15889e-09,1.18914e-09,4.10322e-07,3.14424e-09,2.87136e-09,5.60681e-11,5.06175e-12,1.45726e-10,2.39102e-07
28,9.55873e-05,4.375e-05,8.9251e-08,4.09025e-08,4.8081e-07,4.98974e-08,1.68346e-06,2.07973e-05,0.999594,9.72784e-08,0.00010675,1.03654e-05,2.13804e-06,3.75885e-07,3.16832e-06,2.47739e-06,2.76684e-05,1.09275e-07,7.64223e-08,2.39205e-05,2.03584e-08,2.03127e-09,8.5746e-11,1.14439e-11,7.77927e-11,1.25767e-09,2.04338e-08,3.86901e-10,1.74402e-10,1.28994e-10,1.34394e-10,9.50562e-10,2.50702e-06,5.68887e-06,9.19959e-09,1.38869e-07,3.83032e-11,4.27437e-08,5.12142e-12,4.60427e-08,7.31656e-10,5.32761e-08,7.77116e-10,7.26767e-10,1.574e-08,5.64793e-08,5.65872e-09,7.15274e-07,1.66507e-07,2.2676e-07,2.96078e-11,1.7212e-11,6.32108e-08,2.09158e-06,2.92409e-07,1.72199e-08,7.5117e-09,3.27916e-10,6.96101e-08,1.97726e-09,1.85879e-08,2.51847e-10,2.32109e-08,3.09003e-09,3.92985e-08,5.65799e-07,1.39056e-09,4.28069e-10,7.65346e-09,7.45965e-07,3.73391e-10,1.82872e-11,3.23449e-10,3.4073e-08,8.90758e-08,1.85343e-07,2.62522e-10,2.1164e-08,1.3019e-05,8.34325e-10,1.1753e-08,2.7908e-10,4.26875e-09,6.5141e-07,1.60149e-06,9.92642e-08,6.0861e-08,2.10414e-08,7.57029e-11,2.86921e-06,2.95774e-07,2.93483e-06,5.53492e-08,1.45581e-06,2.73768e-05,2.85061e-07,8.8958e-12,2.0591e-09,2.11299e-06
